ano;mes;bioma;psn_g_c_m2;et_mm;pet_mm;ida;lst_dia_c;precip_mm;area_queimada_ha;oni;fonte
2005;5;Mata Atlântica;137,6949;113,2676;;0,6521;25,895;158,49;550,0;0,27;planilha Benfica 2001-2020 corrigida
2005;6;Caatinga;115,4485;68,3059;;0,392;28,0875;38,54;2000,0;0,09;planilha Benfica 2001-2020 corrigida
2005;6;Cerrado;125,1374;74,9312;;0,4181;28,1414;2,21;16925,0;0,09;planilha Benfica 2001-2020 corrigida
2005;6;Mata Atlântica;134,6585;104,5393;;0,6821;24,3325;165,6;0,0;0,09;planilha Benfica 2001-2020 corrigida
2005;7;Caatinga;104,585;53,4464;;0,3017;29,25;24,01;3325,0;-0,04;planilha Benfica 2001-2020 corrigida
2005;7;Cerrado;111,3333;50,7619;;0,2552;29,4397;1,1;26175,0;-0,04;planilha Benfica 2001-2020 corrigida
2005;7;Mata Atlântica;145,9437;99,1113;;0,6212;24,6825;65,81;25,0;-0,04;planilha Benfica 2001-2020 corrigida
2005;8;Caatinga;83,343;40,545;;0,2007;32,6225;23,07;8125,0;-0,14;planilha Benfica 2001-2020 corrigida
2005;8;Cerrado;74,648;36,979;;0,154;33,2095;1,046;111050,0;-0,14;planilha Benfica 2001-2020 corrigida
2005;8;Mata Atlântica;152,3595;94,1148;;0,5514;26,37;66,74;600,0;-0,14;planilha Benfica 2001-2020 corrigida
2005;9;Caatinga;59,3145;32,5388;;0,1377;36,1275;10,48;29525,0;-0,11;planilha Benfica 2001-2020 corrigida
2005;9;Cerrado;41,4428;32,223;;0,1187;36,5473;32,5;274850,0;-0,11;planilha Benfica 2001-2020 corrigida
2005;9;Mata Atlântica;150,9853;90,8353;;0,4991;29,565;39,19;1625,0;-0,11;planilha Benfica 2001-2020 corrigida
2005;10;Caatinga;43,9978;27,5553;;0,1043;39,1975;9,22;161825,0;-0,27;planilha Benfica 2001-2020 corrigida
2005;10;Cerrado;29,6069;35,4898;;0,1272;39,9565;23,4;611200,0;-0,27;planilha Benfica 2001-2020 corrigida
2005;10;Mata Atlântica;139,3113;100,9037;;0,3909;34,1825;14,9;26250,0;-0,27;planilha Benfica 2001-2020 corrigida
2005;11;Caatinga;77,7954;65,5434;;0,2963;36,0775;98,52;24275,0;-0,57;planilha Benfica 2001-2020 corrigida
2005;11;Cerrado;84,7962;83,0978;;0,4421;34,5168;207,55;58875,0;-0,57;planilha Benfica 2001-2020 corrigida
2005;11;Mata Atlântica;122,8057;104,4383;;0,5495;31,955;174,15;4375,0;-0,57;planilha Benfica 2001-2020 corrigida
2005;12;Caatinga;109,805;92,23;;0,4417;32,2275;101,73;500,0;-0,82;planilha Benfica 2001-2020 corrigida
2005;12;Cerrado;97,8882;92,4415;;0,5474;30,1122;290,9;8050,0;-0,82;planilha Benfica 2001-2020 corrigida
2005;12;Mata Atlântica;136,6099;107,3686;;0,5586;31,0;138,59;900,0;-0,82;planilha Benfica 2001-2020 corrigida
2006;1;Caatinga;105,7926;79,7711;;0,3402;32,43;10,42;3575,0;-0,86;planilha Benfica 2001-2020 corrigida
2006;1;Cerrado;144,6607;104,6399;;0,4746;31,8467;54,81;9950,0;-0,86;planilha Benfica 2001-2020 corrigida
2006;1;Mata Atlântica;147,257;102,9188;;0,4695;30,2633;30,9;2525,0;-0,86;planilha Benfica 2001-2020 corrigida
2006;2;Caatinga;81,3846;69,3933;;0,277;33,8775;80,27;4250,0;-0,8;planilha Benfica 2001-2020 corrigida
2006;2;Cerrado;115,0736;108,258;;0,5263;31,32;157,68;1475,0;-0,8;planilha Benfica 2001-2020 corrigida
2006;2;Mata Atlântica;128,05;105,7895;;0,4048;32,5925;35,24;9550,0;-0,8;planilha Benfica 2001-2020 corrigida
2006;3;Caatinga;104,4751;92,1398;;0,4354;30,6375;203,18;425,0;-0,63;planilha Benfica 2001-2020 corrigida
2006;3;Cerrado;122,5624;115,1178;;0,5828;29,7175;309,91;75,0;-0,63;planilha Benfica 2001-2020 corrigida
2006;3;Mata Atlântica;104,7889;101,3977;;0,5125;30,7;189,5;1450,0;-0,63;planilha Benfica 2001-2020 corrigida
2006;4;Caatinga;129,1943;114,9309;;0,6182;27,0975;154,88;0,0;-0,45;planilha Benfica 2001-2020 corrigida
2006;4;Cerrado;125,1128;112,4923;;0,644;28,4917;183,28;6275,0;-0,45;planilha Benfica 2001-2020 corrigida
2006;4;Mata Atlântica;121,5422;114,2929;;0,6662;27,705;180,2;0,0;-0,45;planilha Benfica 2001-2020 corrigida
2006;5;Caatinga;144,5753;103,6023;;0,5615;27,7775;42,73;500,0;-0,19;planilha Benfica 2001-2020 corrigida
2006;5;Cerrado;141,6278;99,6477;;0,5593;28,105;43,34;8825,0;-0,19;planilha Benfica 2001-2020 corrigida
2006;5;Mata Atlântica;142,5229;116,002;;0,6697;26,2075;86,22;0,0;-0,19;planilha Benfica 2001-2020 corrigida
2006;6;Caatinga;132,0064;70,9963;;0,4428;27,3725;36,69;575,0;-0,05;planilha Benfica 2001-2020 corrigida
2006;6;Cerrado;147,145;80,8551;;0,4604;27,31;2,34;12425,0;-0,05;planilha Benfica 2001-2020 corrigida
2006;6;Mata Atlântica;131,9209;93,8542;;0,6918;24,73;122,46;0,0;-0,05;planilha Benfica 2001-2020 corrigida
2006;7;Caatinga;113,7655;56,822;;0,316;28,5125;17,22;2175,0;0,12;planilha Benfica 2001-2020 corrigida
2006;7;Cerrado;111,7837;54,7335;;0,2845;29,435;0,3;39350,0;0,12;planilha Benfica 2001-2020 corrigida
2006;7;Mata Atlântica;152,0145;99,1435;;0,6042;24,8075;37,38;1225,0;0,12;planilha Benfica 2001-2020 corrigida
2006;8;Caatinga;87,4526;41,9257;;0,1981;32,455;11,57;10025,0;0,33;planilha Benfica 2001-2020 corrigida
2006;8;Cerrado;84,0617;40,561;;0,1704;33,37;1,21;166675,0;0,33;planilha Benfica 2001-2020 corrigida
2006;8;Mata Atlântica;156,428;97,3404;;0,5181;27,6;39,79;2925,0;0,33;planilha Benfica 2001-2020 corrigida
2006;9;Caatinga;70,9813;37,9193;;0,1644;35,9725;18,09;15175,0;0,54;planilha Benfica 2001-2020 corrigida
2006;9;Cerrado;66,4684;45,0996;;0,1841;36,5925;25,64;209975,0;0,54;planilha Benfica 2001-2020 corrigida
2006;9;Mata Atlântica;154,0615;95,6483;;0,5133;30,52;58,14;800,0;0,54;planilha Benfica 2001-2020 corrigida
