ano,mes,bioma,planilha,gee_v61,dif,dif_pct
2014,4,Caatinga,108.95111215863662,108.0855,-0.866,-0.79
2015,4,Mata Atlântica,104.73846560091901,105.2242,0.486,0.46
2015,4,Cerrado,116.63058269959868,115.952,-0.679,-0.58
2015,4,Caatinga,88.44008762242787,87.6562,-0.784,-0.89
2016,4,Mata Atlântica,106.0739637100971,105.8757,-0.198,-0.19
2016,4,Cerrado,86.99122106830615,82.9952,-3.996,-4.59
2016,4,Caatinga,74.54048980792508,69.8612,-4.679,-6.28
2017,4,Mata Atlântica,129.80284047322587,130.338,0.535,0.41
2017,4,Cerrado,140.8010472007054,139.7765,-1.025,-0.73
2017,4,Caatinga,100.554557620065,99.9276,-0.627,-0.62
2018,4,Mata Atlântica,142.17883358839833,143.0091,0.83,0.58
2018,4,Cerrado,147.48616605495886,146.6212,-0.865,-0.59
2018,4,Caatinga,133.6061761273491,132.9883,-0.618,-0.46
2019,4,Mata Atlântica,137.72365242800035,138.1798,0.456,0.33
2019,4,Cerrado,144.7827207848154,143.2932,-1.49,-1.03
2019,4,Caatinga,131.90379833821197,131.1571,-0.747,-0.57
2020,4,Mata Atlântica,138.23667558430444,138.9033,0.667,0.48
2020,4,Cerrado,135.78529540543215,135.8324,0.047,0.03
2020,4,Caatinga,142.715550690322,142.6554,-0.06,-0.04
2001,5,Mata Atlântica,112.17247610934,112.7375,0.565,0.5
2001,5,Cerrado,49.80182483666461,49.6629,-0.139,-0.28
2001,5,Caatinga,61.60953591717061,61.589,-0.021,-0.03
2002,5,Mata Atlântica,133.20825928738566,134.161,0.953,0.72
2002,5,Cerrado,48.255573580626546,48.0834,-0.172,-0.36
2002,5,Caatinga,76.52271466874994,76.4822,-0.041,-0.05
2003,5,Mata Atlântica,119.43399425237509,120.1291,0.695,0.58
2003,5,Cerrado,104.86395725636896,104.8188,-0.045,-0.04
2003,5,Caatinga,87.35620866690658,87.225,-0.131,-0.15
2004,5,Mata Atlântica,133.39788579149342,134.1741,0.776,0.58
2004,5,Cerrado,129.16884823831836,128.9386,-0.23,-0.18
2004,5,Caatinga,119.71744119248021,119.4531,-0.264,-0.22
2005,5,Mata Atlântica,137.69487320338536,138.4025,0.708,0.51
2005,5,Cerrado,144.15348805300985,143.8221,-0.331,-0.23
2005,5,Caatinga,136.0588081828698,135.8446,-0.214,-0.16
2006,5,Mata Atlântica,142.5229164859692,143.2831,0.76,0.53
2006,5,Cerrado,141.62778592715597,141.2273,-0.4,-0.28
2006,5,Caatinga,144.57531389076257,144.2658,-0.31,-0.21
2007,5,Mata Atlântica,136.31359351298426,137.1144,0.801,0.59
2007,5,Cerrado,96.67671239510338,96.2605,-0.416,-0.43
2007,5,Caatinga,95.41821005645188,95.1666,-0.252,-0.26
2008,5,Mata Atlântica,120.49089801684974,121.1146,0.624,0.52
2008,5,Cerrado,125.81746403904707,125.177,-0.64,-0.51
2008,5,Caatinga,126.27266505318171,125.7519,-0.521,-0.41
2009,5,Mata Atlântica,131.30211421258159,131.9882,0.686,0.52
2009,5,Cerrado,134.1444438839645,133.3124,-0.832,-0.62
2009,5,Caatinga,130.66147545084593,130.2421,-0.419,-0.32
2010,5,Mata Atlântica,127.70279402184178,128.4787,0.776,0.61
2010,5,Cerrado,123.2840557134988,122.7961,-0.488,-0.4
2010,5,Caatinga,105.32719857788365,105.0909,-0.236,-0.22
2011,5,Mata Atlântica,141.01113233440373,141.934,0.923,0.65
2011,5,Cerrado,145.4402956374708,145.1403,-0.3,-0.21
2011,5,Caatinga,119.63089353658007,119.5284,-0.102,-0.09
2012,5,Mata Atlântica,109.66436831899958,110.2258,0.561,0.51
2012,5,Cerrado,94.27073326244383,93.7216,-0.549,-0.58
2012,5,Caatinga,54.27511712326455,54.0043,-0.271,-0.5
2013,5,Mata Atlântica,133.09855383927436,133.7872,0.689,0.52
2013,5,Cerrado,120.76576440607175,120.1187,-0.647,-0.54
2013,5,Caatinga,85.37215998688316,84.9121,-0.46,-0.54
2014,5,Mata Atlântica,127.00247715015941,127.5278,0.525,0.41
2014,5,Cerrado,140.93090291299356,139.6824,-1.249,-0.89
2014,5,Caatinga,110.25521183457349,109.266,-0.989,-0.9
2015,5,Mata Atlântica,121.00256523431928,121.483,0.48,0.4
2015,5,Cerrado,143.17036341294613,142.9887,-0.182,-0.13
2015,5,Caatinga,107.58098100228099,107.2067,-0.374,-0.35
2016,5,Mata Atlântica,99.76711203457063,100.2105,0.443,0.44
2016,5,Cerrado,69.34220965402022,69.1521,-0.19,-0.27
2016,5,Caatinga,62.933662540327056,62.6946,-0.239,-0.38
2017,5,Mata Atlântica,126.49934370554834,126.8522,0.353,0.28
2017,5,Cerrado,120.76597465330393,120.3385,-0.427,-0.35
2017,5,Caatinga,82.09707686131352,81.6005,-0.497,-0.61
2018,5,Mata Atlântica,138.56334831599276,139.3573,0.794,0.57
2018,5,Cerrado,147.44933788263685,146.6775,-0.772,-0.52
2018,5,Caatinga,108.58301248511094,108.0424,-0.541,-0.5
2019,5,Mata Atlântica,126.29762481159241,126.8781,0.58,0.46
2019,5,Cerrado,137.931873641817,137.0799,-0.852,-0.62
2019,5,Caatinga,105.45808078189876,104.8418,-0.616,-0.58
2020,5,Mata Atlântica,133.64898230992517,134.2821,0.633,0.47
2020,5,Cerrado,145.43991892769878,145.497,0.057,0.04
2020,5,Caatinga,139.77257006900808,139.7319,-0.041,-0.03
2001,6,Mata Atlântica,127.64608073674593,128.5406,0.895,0.7
2001,6,Cerrado,71.53685023990832,71.355,-0.182,-0.25
2001,6,Caatinga,76.52458786638118,76.5573,0.033,0.04
2002,6,Mata Atlântica,120.75715004375297,121.4911,0.734,0.61
2002,6,Cerrado,60.1403495922164,59.9388,-0.202,-0.34
2002,6,Caatinga,76.07788686428826,76.0609,-0.017,-0.02
2003,6,Mata Atlântica,137.08078439082306,137.9318,0.851,0.62
2003,6,Cerrado,95.03962663890269,94.882,-0.158,-0.17
2003,6,Caatinga,92.46685986336985,92.4735,0.007,0.01
2004,6,Mata Atlântica,133.3626373541651,133.9969,0.634,0.48
2004,6,Cerrado,111.89764752646255,111.5966,-0.301,-0.27
2004,6,Caatinga,104.75708833831949,104.4621,-0.295,-0.28
2005,6,Mata Atlântica,134.65851937944154,135.3305,0.672,0.5
2005,6,Cerrado,125.13740350197536,124.809,-0.328,-0.26
2005,6,Caatinga,115.44851328778988,115.1956,-0.253,-0.22
2006,6,Mata Atlântica,131.92087224352045,132.6416,0.721,0.55
2006,6,Cerrado,147.14502438423992,146.7362,-0.409,-0.28
2006,6,Caatinga,132.00644274014022,131.6658,-0.341,-0.26
2007,6,Mata Atlântica,126.45762353489933,127.1261,0.668,0.53
2007,6,Cerrado,81.26817498542191,80.9264,-0.342,-0.42
2007,6,Caatinga,88.36760964112518,88.073,-0.295,-0.33
2008,6,Mata Atlântica,125.16381750896264,125.7794,0.616,0.49
2008,6,Cerrado,115.06493027741739,114.6082,-0.457,-0.4
2008,6,Caatinga,111.45478900619976,111.0879,-0.367,-0.33
2009,6,Mata Atlântica,134.45940014108885,135.2724,0.813,0.6
2009,6,Cerrado,135.8705795115888,135.0779,-0.793,-0.58
2009,6,Caatinga,128.76936369494442,128.3264,-0.443,-0.34
2010,6,Mata Atlântica,132.27795313228816,132.9334,0.655,0.5
2010,6,Cerrado,122.306329410198,121.9867,-0.32,-0.26
2010,6,Caatinga,95.4797846933215,95.3406,-0.139,-0.15
2011,6,Mata Atlântica,130.5880633434974,131.4035,0.815,0.62
2011,6,Cerrado,125.1179799720343,124.9667,-0.151,-0.12
2011,6,Caatinga,99.49109519595693,99.4325,-0.059,-0.06
2012,6,Mata Atlântica,119.60927794118213,120.165,0.556,0.46
2012,6,Cerrado,83.26449041276656,82.8931,-0.371,-0.45
2012,6,Caatinga,59.63310254283468,59.4526,-0.181,-0.3
2013,6,Mata Atlântica,129.11795085790502,129.7054,0.587,0.45
2013,6,Cerrado,98.03687518537875,97.4625,-0.574,-0.59
2013,6,Caatinga,77.17620089020915,76.8217,-0.355,-0.46
