ano,mes,bioma,psn_g_c_m2,et_mm,pet_mm,ida,lst_dia_c,precip_mm,area_queimada_ha,oni
2019,6,Caatinga,96.1937,47.5003,167.9286,0.2829,29.616,32.8144,1550.0,0.59
2019,6,Cerrado,126.6644,64.7427,170.4504,0.3798,29.9515,1.364,4700.0,0.59
2019,6,Mata Atlântica,125.4611,93.7121,146.2167,0.6409,25.4183,83.6008,1200.0,0.59
2019,7,Caatinga,82.389,38.4937,181.9362,0.2116,30.4051,26.6531,1300.0,0.38
2019,7,Cerrado,98.3228,43.102,189.2934,0.2277,31.5525,0.9152,17450.0,0.38
2019,7,Mata Atlântica,128.1361,88.7246,147.2011,0.6027,25.0194,76.1902,50.0,0.38
2019,8,Caatinga,74.9706,34.9856,207.7682,0.1684,31.955,22.0885,5200.0,0.2
2019,8,Cerrado,78.1691,35.4446,216.6789,0.1636,34.7165,1.7618,58025.0,0.2
2019,8,Mata Atlântica,151.6691,97.114,170.7045,0.5689,25.6124,74.057,525.0,0.2
2019,9,Caatinga,54.7104,28.432,243.3144,0.1169,36.4633,17.6812,13650.0,0.31
2019,9,Cerrado,44.2305,27.7626,251.5561,0.1104,39.5289,12.8391,207375.0,0.31
2019,9,Mata Atlântica,152.9456,101.3786,206.4777,0.491,27.9784,57.464,1425.0,0.31
2019,10,Caatinga,40.7434,27.1921,255.6926,0.1063,40.1996,26.8962,38350.0,0.51
2019,10,Cerrado,43.3435,36.955,255.0726,0.1449,41.546,53.0562,139200.0,0.51
2019,10,Mata Atlântica,133.4715,100.5596,234.275,0.4292,31.5637,50.1045,9250.0,0.51
2019,11,Caatinga,47.2758,36.4659,247.7831,0.1472,40.4421,41.9125,25100.0,0.72
2019,11,Cerrado,72.9269,72.8937,214.9503,0.3391,37.3679,127.9072,57825.0,0.72
2019,11,Mata Atlântica,118.619,104.1317,231.9219,0.449,33.9792,67.7178,16500.0,0.72
2019,12,Caatinga,45.2675,34.1861,231.0997,0.1479,38.2576,34.3412,3100.0,0.75
2019,12,Cerrado,81.9483,68.8957,212.1479,0.3248,35.4854,70.3631,40000.0,0.75
2019,12,Mata Atlântica,121.5565,97.6453,222.3615,0.4391,30.9215,65.6779,2150.0,0.75
2020,1,Caatinga,79.3289,67.1241,194.3794,0.3453,33.9043,186.7359,625.0,0.71
2020,1,Cerrado,111.1953,94.9026,187.7869,0.5054,31.9275,287.8707,500.0,0.71
2020,1,Mata Atlântica,111.6857,102.116,200.1087,0.5103,30.2785,143.4494,1850.0,0.71
2020,2,Caatinga,130.0876,108.7134,214.2938,0.5073,31.247,74.3955,575.0,0.66
2020,2,Cerrado,133.008,123.0068,195.6306,0.6288,30.4794,170.5006,1075.0,0.66
2020,2,Mata Atlântica,134.5566,120.9387,226.222,0.5346,30.6982,36.9546,5500.0,0.66
2020,3,Caatinga,113.545,107.5502,197.1445,0.5455,29.7582,205.3584,250.0,0.57
2020,3,Cerrado,116.3478,116.3762,174.4388,0.6671,28.487,279.5107,48375.0,0.57
2020,3,Mata Atlântica,112.9185,114.1231,196.7498,0.58,28.9909,190.8692,575.0,0.57
2020,4,Caatinga,142.6554,120.4036,201.3924,0.5979,28.3156,123.5859,225.0,0.33
2020,4,Cerrado,135.8324,120.3409,183.9675,0.6541,29.3846,146.4536,14575.0,0.33
2020,4,Mata Atlântica,138.9033,126.3315,193.4033,0.6532,27.6888,171.0197,0.0,0.33
2020,5,Caatinga,139.7319,107.9281,177.1691,0.6092,27.0989,47.289,550.0,0.04
