ano,mes,bioma,psn_g_c_m2_planilha,ida_planilha,et_mm_planilha,precip_mm_planilha,lst_dia_c_planilha,area_queimada_ha_planilha,psn_g_c_m2_gee,et_mm_gee,pet_mm,ida_gee,lst_dia_c_gee,precip_mm_gee,precip_v06_mm,area_queimada_ha_gee,oni
2007,3,Cerrado,156.5263,0.4883,122.7179,44.31,29.8632,15350,156.4409,115.1465,227.4064,0.5063,29.6053,42.9121,45.2463,15625,-0.12
2007,3,Caatinga,146.3102,0.458,114.5053,34.18,29.095,1425,146.371,110.5442,232.7639,0.4749,28.058,40.0534,34.3389,1325,-0.12
2008,3,Mata Atlântica,126.6353,0.5349,121.6409,131.96,30.4575,175,127.3072,117.7983,214.2749,0.5498,29.4386,135.0409,133.7609,275,-1.37
2008,3,Cerrado,128.8816,0.6098,116.1646,213.12,29.835,7150,128.4399,114.1034,183.7171,0.6211,28.7898,202.7385,214.8586,5550,-1.37
2008,3,Caatinga,123.2533,0.466,102.857,138.81,31.2525,975,123.1815,100.3356,209.0774,0.4799,30.2978,141.3906,141.0938,750,-1.37
2009,3,Mata Atlântica,117.1768,0.4565,105.1837,91.73,32.54,2975,117.9768,102.0395,216.2723,0.4718,31.0396,79.2791,94.239,2875,-0.63
2009,3,Cerrado,124.5187,0.5551,113.3419,107.15,30.86,16800,123.9987,109.4698,194.0984,0.564,29.3892,148.8701,107.9736,16800,-0.63
2009,3,Caatinga,111.0383,0.3717,84.8531,88.2,32.385,1500,110.8559,82.6314,219.583,0.3763,32.1455,84.9862,90.1934,2175,-0.63
2010,3,Mata Atlântica,110.8056,0.5609,116.9604,200.45,31.445,425,111.4208,111.0941,194.6647,0.5707,30.3944,215.9913,203.5647,375,0.88
2010,3,Cerrado,133.6523,0.6159,130.5799,212.13,30.4775,11550,133.3163,122.793,194.4025,0.6316,30.1433,208.9056,212.4351,11025,0.88
2010,3,Caatinga,106.6179,0.4376,98.4725,134.39,31.92,0,106.6424,94.2707,209.8449,0.4492,31.7342,142.476,135.5078,0,0.88
2011,3,Mata Atlântica,113.1684,0.5537,111.723,155.55,31.145,275,113.7527,112.2755,201.0956,0.5583,29.6393,167.8011,157.9159,300,-0.85
2011,3,Cerrado,118.5277,0.7,119.6243,247.94,28.53,2250,118.4922,120.5556,171.512,0.7029,27.8323,206.6395,247.2492,3100,-0.85
2011,3,Caatinga,118.116,0.5198,103.4579,162.56,29.555,1700,118.422,104.7847,203.8757,0.514,29.1217,156.2059,165.0462,1650,-0.85
2012,3,Mata Atlântica,133.7942,0.4322,105.5217,34.08,32.475,1675,134.8679,102.0132,228.9861,0.4455,30.4087,42.267,35.54,1700,-0.44
2012,3,Cerrado,123.1085,0.4531,101.473,78.01,31.995,34600,122.8971,95.9046,206.234,0.465,31.6894,75.4952,79.7675,31450,-0.44
2012,3,Caatinga,78.0785,0.2119,54.6249,20.36,35.0567,5675,78.0087,52.4047,241.8369,0.2167,34.9946,20.8502,21.1273,8450,-0.44
2013,3,Mata Atlântica,122.3324,0.4173,101.9256,27.18,34.09,10925,123.077,98.6082,229.7305,0.4292,32.1094,30.9442,28.1345,10625,-0.23
2013,3,Cerrado,116.5268,0.4738,108.1318,145.22,32.3025,13100,116.1413,102.3116,209.8802,0.4875,32.1167,144.5524,145.9597,10450,-0.23
2013,3,Caatinga,72.4323,0.222,56.174,42.95,35.3075,4550,71.9972,53.6118,238.5201,0.2248,35.6031,39.9806,44.5205,5250,-0.23
2014,3,Mata Atlântica,147.848,0.548,111.0503,109.0,29.6225,225,148.4774,115.1751,213.4281,0.5396,27.795,106.5436,110.9277,350,-0.02
2014,3,Cerrado,133.1874,0.634,124.182,159.9,30.5525,10125,132.601,118.0895,183.954,0.642,29.9206,161.1163,161.1849,10950,-0.02
2014,3,Caatinga,115.9464,0.3871,82.6051,67.33,32.0875,350,115.3832,81.9709,214.0056,0.383,31.7841,67.6992,68.2865,325,-0.02
2015,3,Mata Atlântica,116.1842,0.4825,109.8127,70.54,30.6225,2025,117.0259,108.4817,221.9103,0.4889,28.9582,63.1616,71.7371,1975,0.72
2015,3,Cerrado,128.2967,0.5704,119.7536,134.56,31.04,8775,128.0122,112.5865,193.6248,0.5815,30.3155,134.5862,136.0333,10200,0.72
2015,3,Caatinga,102.8296,0.3448,80.8326,44.35,32.9175,125,102.5011,77.6753,221.1251,0.3513,32.4786,46.2898,45.4513,175,0.72
2016,3,Mata Atlântica,121.389,0.411,100.5753,35.97,32.6975,1050,122.0626,98.2856,235.3253,0.4177,31.6415,34.2662,36.6319,1275,1.69
