tipo,bioma,variavel,fase,n,minimo,P10,Q1,mediana,media,Q3,P90,maximo,bigode_inf,bigode_sup,n_outliers,amplitude,IQR,desvio_padrao
anomalia,Caatinga,EV,La Niña,73,-23.499,-13.245,-6.031,2.985,4.997,15.941,28.661,37.307,-23.499,37.307,0,60.807,21.972,15.242
anomalia,Caatinga,PRE,El Niño,76,-96.936,-60.195,-39.217,-4.145,-0.217,21.987,58.315,283.521,-96.936,85.983,4,380.456,61.204,58.306
anomalia,Caatinga,PRE,Neutro,148,-95.589,-44.575,-14.369,-2.569,-1.197,8.373,26.479,256.97,-46.57,41.844,22,352.56,22.742,42.444
anomalia,Caatinga,PRE,La Niña,73,-99.507,-49.593,-15.833,-3.551,2.653,22.68,56.333,197.781,-73.547,70.769,7,297.288,38.514,46.58
anomalia,Caatinga,TST,El Niño,76,-4.213,-1.769,-0.59,0.409,0.541,1.886,2.445,5.511,-4.213,5.511,0,9.724,2.476,1.915
anomalia,Caatinga,TST,Neutro,148,-4.982,-2.801,-1.4,0.38,0.051,1.346,2.22,4.356,-4.982,4.356,0,9.338,2.746,1.884
anomalia,Caatinga,TST,La Niña,73,-5.622,-2.804,-1.473,-0.601,-0.666,0.442,1.683,2.759,-4.219,2.759,3,8.381,1.915,1.849
anomalia,Caatinga,WAI,El Niño,76,-0.195,-0.124,-0.049,-0.012,-0.01,0.045,0.083,0.186,-0.186,0.15,3,0.381,0.094,0.08
anomalia,Caatinga,WAI,Neutro,148,-0.251,-0.098,-0.055,-0.023,-0.008,0.019,0.108,0.246,-0.165,0.114,17,0.496,0.074,0.088
anomalia,Caatinga,WAI,La Niña,73,-0.123,-0.069,-0.03,0.021,0.027,0.097,0.13,0.204,-0.123,0.204,0,0.327,0.128,0.079
anomalia,Caatinga,BURN,El Niño,76,-73416.667,-31766.833,-6655.208,-1249.5,-3529.648,286.0,7232.0,232658.0,-13742.0,8844.792,21,306074.667,6941.208,34156.483
anomalia,Caatinga,BURN,Neutro,148,-57191.667,-20723.329,-2633.75,-640.0,-2902.154,557.5,2848.7,114558.333,-7198.0,4927.0,35,171750.0,3191.25,18352.581
anomalia,Caatinga,BURN,La Niña,73,-62341.667,-20456.042,-2830.208,-166.0,9558.522,2066.0,40088.333,202973.958,-7080.208,8110.0,23,265315.625,4896.208,44178.772
