ano,mes,bioma,psn_g_c_m2,ida,et_mm,precip_mm,lst_dia_c,area_queimada_ha
2006,7,Caatinga,113.76548036483602,0.3159513,56.8220407346027,17.22,28.512500000000003,2175
2007,7,Mata Atlântica,127.56933682329743,0.5326461,83.67315344674348,40.65,25.8075,2300
2007,7,Cerrado,64.71319049165972,0.1427961,30.09709557132134,0.6,31.5625,220450
2007,7,Caatinga,78.27778195046822,0.2091188,36.509695581875434,16.17,30.54,4850
2008,7,Mata Atlântica,138.94294448374296,0.5447567,89.40345590413672,46.14,25.25,4425
2008,7,Cerrado,93.81586176143597,0.1872849,38.773506017094846,0.61,30.2675,43650
2008,7,Caatinga,96.67608706790803,0.2366135,43.765525191674804,17.48,29.2025,175
2009,7,Mata Atlântica,152.0938005712942,0.6193991,105.15520723495074,50.4,25.4125,925
2009,7,Cerrado,129.20520735179286,0.3575391,69.88492961895768,0.72,30.57,18525
2009,7,Caatinga,110.50602403828476,0.3076206,56.778139600241,17.13,30.037499999999998,500
2010,7,Mata Atlântica,133.8174127157291,0.6017907,90.57179441201407,116.5,24.529999999999998,575
2010,7,Cerrado,105.91756411834378,0.2563361,50.13399133958046,3.06,30.1625,91275
2010,7,Caatinga,90.28140615430614,0.2508515,43.918281469276884,46.03,29.8475,2775
2011,7,Mata Atlântica,132.66117338894648,0.5503164,89.12934969253408,33.42,25.7925,1350
2011,7,Cerrado,111.09229712251845,0.2702882,53.138041881562906,0.58,30.985,50250
2011,7,Caatinga,82.47411262399514,0.20329,37.39444995594485,14.26,30.6975,2400
2012,7,Mata Atlântica,130.61142858244253,0.5370758,88.64658649488855,46.74,25.2675,2675
2012,7,Cerrado,71.40690769097289,0.1413191,30.554526340427934,0.56,31.9025,136450
2012,7,Caatinga,65.3894337695969,0.1487958,26.937895448478997,12.67,31.87,2525
2013,7,Mata Atlântica,136.40319242437675,0.6006606,98.9445988325066,99.58,25.892500000000002,4275
2013,7,Cerrado,83.23886991103839,0.1951914,40.5365487057798,1.0,32.125,19450
2013,7,Caatinga,73.22630396832669,0.1987361,35.733629909013004,33.14,32.120000000000005,1700
2014,7,Mata Atlântica,130.09694307488888,0.6005635,91.33109235671893,122.74,25.492500000000003,0
2014,7,Cerrado,95.43172796187301,0.2649623,50.23981775184226,0.28,30.872500000000002,14525
2014,7,Caatinga,77.01654602709206,0.2228644,38.40966348621264,32.73,31.357499999999998,1100
2015,7,Mata Atlântica,136.122020268994,0.6279814,98.6724370206504,76.51,25.2125,900
2015,7,Cerrado,99.14566501280248,0.266382,50.8106485629192,0.59,31.3825,20525
2015,7,Caatinga,85.52558609855956,0.2508253,43.67239705237587,26.82,31.49,825
2016,7,Mata Atlântica,127.4579437649136,0.5507775,87.91697874538315,58.05,26.99,125
2016,7,Cerrado,64.25065223049715,0.1370577,29.459425773021138,0.42,32.9125,15725
2016,7,Caatinga,75.07497359753481,0.1838582,34.77379572040872,9.96,31.55,850
2017,7,Mata Atlântica,127.08090751741446,0.5931951,88.1033299874285,117.86,23.682499999999997,675
2017,7,Cerrado,95.88605507993229,0.1772284,36.069612460350136,2.4,30.215,6700
2017,7,Caatinga,80.73445750770374,0.1960858,34.17937495363806,34.12,30.195,1550
2018,7,Mata Atlântica,145.29829536912467,0.5795783,99.91590480738309,43.24,25.277499999999996,1300
2018,7,Cerrado,95.90929526822664,0.2018068,40.707745748484626,0.21,32.0625,5575
2018,7,Caatinga,76.03083886298205,0.1694404,31.43581722752298,6.02,31.8,1150
2019,7,Mata Atlântica,127.58896731441612,0.5794384,95.72900860514748,74.23,25.792499999999997,25
2019,7,Cerrado,98.89257012108385,0.2255197,45.43292694738371,0.68,31.642500000000002,17150
2019,7,Caatinga,82.90951971625186,0.2173732,40.67485467228819,27.66,31.47,1325
2020,7,Mata Atlântica,153.61512426227108,0.6412171,107.94904115462953,57.78,23.886895475000017,2450
2020,7,Cerrado,129.29394500077683,0.3488305,65.18415276398945,1.43,29.575800000000015,14775
2020,7,Caatinga,115.41553477650734,0.3244609,59.367630411983484,32.56,27.360100000000017,2875
2001,8,Mata Atlântica,140.50000655330732,0.5708708,76.11506949438957,92.31,24.629831050000035,0
2001,8,Cerrado,50.842821111931656,0.1115894,26.926724470173752,1.17,33.23030000000003,241100
2001,8,Caatinga,70.82983498982476,0.1903573,31.158685983124435,25.71,31.259950000000032,22925
2002,8,Mata Atlântica,133.5572371641912,0.5114059,86.96647331809154,77.02,25.302729125000027,47400
2002,8,Cerrado,40.35461616687449,0.09435307,23.18537189232163,1.34,34.22830000000003,375725
2002,8,Caatinga,62.04582248295285,0.1417668,29.23596988668608,16.89,31.990450000000024,10375
2003,8,Mata Atlântica,139.49214818926686,0.5512156,87.35223363946798,79.1887,27.75,975
2003,8,Cerrado,48.11913213318645,0.1226767,28.216965537836952,17.6373,33.8775,73750
2003,8,Caatinga,66.4253410780798,0.1722003,32.68414633263777,25.54,34.0975,4550
2004,8,Mata Atlântica,159.96975095552818,0.535334,98.26356146601593,30.69,27.375,1075
2004,8,Cerrado,66.04849457028365,0.1395561,32.862046421718084,1.26,33.4725,135300
2004,8,Caatinga,76.20254628136587,0.1746769,36.04976817397807,8.12,32.542500000000004,12050
2005,8,Mata Atlântica,152.35948965254047,0.551433,94.11480556031997,66.74,26.37,600
2005,8,Cerrado,74.64802746536563,0.1540184,36.9790434373783,1.046,33.20945000000005,111050
2005,8,Caatinga,83.34300467349718,0.2006978,40.54501055399423,23.07,32.6225,8125
2006,8,Mata Atlântica,156.42799760226512,0.5180563,97.34038170676563,39.79,27.599999999999998,2925
2006,8,Cerrado,84.06174953138273,0.1703833,40.56100107347232,1.21,33.37,166675
2006,8,Caatinga,87.4525821052879,0.1980756,41.925661099009254,11.57,32.455,10025
2007,8,Mata Atlântica,138.16444746839468,0.5131743,83.36121127188811,40.66,26.84,1025
2007,8,Cerrado,59.94348586682593,0.1136895,26.124957424312132,1.32,33.945,683775
2007,8,Caatinga,77.09916138968676,0.1726596,33.00870423430492,14.5,32.435,31950
2008,8,Mata Atlântica,139.05102472721808,0.4556454,85.67309750830306,23.87,28.095,2575
2008,8,Cerrado,62.12476256388631,0.122948,29.8595526929627,0.44,33.9425,115550
2008,8,Caatinga,73.60824794220389,0.1597021,33.20726763067449,10.93,32.875,5475
2009,8,Mata Atlântica,150.02077205669767,0.5379641,98.10631557405007,66.2,27.94,275
2009,8,Cerrado,101.8558008664123,0.2258388,51.473633744158455,2.88,33.705000000000005,38700
2009,8,Caatinga,85.99978793649186,0.2076345,42.08782751127914,17.44,33.2475,1725
2010,8,Mata Atlântica,145.51780128830313,0.5070162,90.4318723748453,40.47,27.1675,575
2010,8,Cerrado,84.38843095436505,0.1545793,36.05857627706885,0.87,33.4725,391300
2010,8,Caatinga,84.55523232963779,0.1897098,38.73926432425554,13.17,32.22,12900
2011,8,Mata Atlântica,148.1829363442568,0.4824947,92.30212448715075,21.15,27.735,5025
2011,8,Cerrado,86.16712859180763,0.1649799,39.16088323365376,0.5,34.7025,172925
2011,8,Caatinga,69.53934925759644,0.1415658,30.284457005974737,8.59,33.417500000000004,11025
2012,8,Mata Atlântica,139.71193260887162,0.4753518,87.4193634334831,91.18,26.5275,300
2012,8,Cerrado,61.60634151656454,0.1051969,25.622298158954617,1.05,34.315,311000
2012,8,Caatinga,64.3662270877237,0.1291452,26.250691644719506,19.76,33.27,8775
2013,8,Mata Atlântica,147.14138856871915,0.5608188,99.0186342861041,99.93,27.549999999999997,900
2013,8,Cerrado,65.38840674163198,0.1343149,31.704562055578425,0.85,34.5625,42225
2013,8,Caatinga,68.80534553472829,0.1681326,33.79441551995629,20.19,34.3425,1100
2014,8,Mata Atlântica,148.80243763757127,0.5006925,95.70679192694884,40.13,27.5225,500
2014,8,Cerrado,72.23435928063971,0.1334096,32.169606810495814,0.36,35.22,39350
2014,8,Caatinga,70.55784334055082,0.1576684,33.57147590475886,11.64,33.7,5475
2015,8,Mata Atlântica,150.48225692048524,0.5411331,103.1437135645581,68.7,27.2475,2300
2015,8,Cerrado,72.24811029707007,0.1385313,32.98719278917165,0.64,35.3875,42600
2015,8,Caatinga,71.36189268302093,0.165678,35.403189520362766,22.62,33.89,18550
2016,8,Mata Atlântica,135.9674038494898,0.4896917,88.09548790114313,59.02,29.215,325
2016,8,Cerrado,37.371739301503005,0.09001157,22.123718693753684,1.5,36.629999999999995,51550
2016,8,Caatinga,59.15001874695588,0.1377081,28.97434916886239,15.52,34.682500000000005,17200
2017,8,Mata Atlântica,149.18922231516783,0.5236004,97.15952696052157,38.85,26.325000000000003,1825
2017,8,Cerrado,54.01883286555678,0.1012007,24.82050433020977,0.46,35.96,60275
2017,8,Caatinga,63.814339733419494,0.1380823,28.112681067865434,7.64,34.589999999999996,7650
2018,8,Mata Atlântica,133.93006136979542,0.5050953,91.87335620243049,36.26,28.3875,475
2018,8,Cerrado,65.5492787632136,0.1496909,34.55443594275891,8.14,35.5425,23475
2018,8,Caatinga,55.3435824528493,0.1225095,25.979726731433665,8.15,35.0225,8700
2019,8,Mata Atlântica,151.06406262648846,0.5689333,98.3564774443784,81.17,27.067500000000003,475
2019,8,Cerrado,78.78590233794115,0.1623161,37.22751196558431,1.96,34.7325,58150
2019,8,Caatinga,75.63985988609566,0.1788408,35.98096063743367,23.01,33.795,5125
